#Copied from the Ultranomicon Wiki (http://wiki.uqm.stack.nl/List_of_stars). Feel free to add your own locations.
Constellation	Star	Color	Size	Coordinates	Notes
Achernar	-	Blue	Dwarf	537.5:272.9	-
Algol	-	Red	Dwarf	900.0:325.0	-
Alcor	-	Blue	Dwarf	970.8:025.0	-
Aldebaran	-	Blue	Dwarf	737.5:356.2	-
Almagest	-	Blue	Dwarf	900.9:235.9	-
Altair	-	Blue	Dwarf	450.0:650.0	-
Andromedae	Alpha	Green	Dwarf	862.5:700.0	Rainbow World
Andromedae	Beta	Green	Dwarf	866.6:710.4	-
Antares	-	Orange	Dwarf	647.9:754.1	-
Antliae	Alpha	Blue	Dwarf	268.7:900.0	-
Antliae	Beta	Yellow	Dwarf	270.6:891.0	-
Antliae	Gamma	Green	Dwarf	283.1:885.4	-
Antliae	Delta	Blue	Dwarf	305.0:883.3	-
Antliae	Epsilon	White	Dwarf	253.5:891.7	-
Antliae	Zeta	Red	Dwarf	258.1:910.5	-
Apodis	Alpha	Yellow	Super-Giant	258.2:850.7	-
Apodis	Beta	Red	Dwarf	259.3:856.9	-
Apodis	Gamma	Orange	Dwarf	256.2:857.2	-
Apodis	Delta	Green	Dwarf	253.6:850.4	-
Aquarii	Alpha	Green	Dwarf	856.0:863.8	-
Aquarii	Beta	Green	Dwarf	863.0:869.3	Utwig Homeworld (planet I)
Aquarii	Gamma	Orange	Dwarf	853.4:879.7	Rainbow World
Aquarii	Delta	Blue	Dwarf	858.8:881.2	-
Aquarii	Epsilon	Blue	Dwarf	875.0:864.5	-
Aquarii	Zeta	Orange	Dwarf	862.5:856.2	-
Aquarii	Eta	White	Dwarf	849.2:857.8	-
Aquilae	Alpha	Blue	Super-Giant	915.9:974.5	-
Aquilae	Beta	Red	Dwarf	918.6:974.1	-
Aquilae	Gamma	Red	Dwarf	912.0:974.1	-
Aquilae	Delta	Yellow	Dwarf	914.4:968.6	-
Aquilae	Epsilon	Orange	Dwarf	914.7:979.0	-
Arae	Alpha	White	Dwarf	933.9:084.3	-
Arae	Beta	Yellow	Super-Giant	933.3:093.7	-
Arae	Gamma	Blue	Dwarf	941.9:094.2	-
Arae	Delta	Yellow	Dwarf	929.2:075.0	-
Arae	Epsilon	Blue	Dwarf	923.7:082.1	-
Arcturus	-	Orange	Dwarf	964.5:579.1	Burvixese Homeworld (planet I)
Arianni	Alpha	Blue	Dwarf	739.5:175.0	-
Arianni	Beta	Yellow	Dwarf	718.7:183.3	-
Arianni	Gamma	Yellow	Dwarf	739.5:168.7	-
Arietis	Alpha	Green	Dwarf	937.5:158.3	-
Arietis	Beta	Green	Dwarf	946.9:154.8	-
Arietis	Gamma	Yellow	Dwarf	947.7:167.0	-
Arietis	Delta	Red	Giant	954.1:168.7	-
Arietis	Epsilon	Orange	Dwarf	955.9:173.5	-
Aurigae	Alpha	White	Dwarf	806.2:208.3	-
Aurigae	Beta	Orange	Dwarf	808.0:201.1	-
Aurigae	Gamma	White	Dwarf	816.3:200.9	-
Aurigae	Delta	White	Dwarf	818.7:193.7	-
Bellatrix	-	Yellow	Dwarf	545.8:191.6	-
Betelgeuse	-	Blue	Dwarf	412.5:377.0	Syreen adopted Homeworld (planet I)
Bootis	Alpha	Green	Dwarf	022.9:266.6	-
Bootis	Beta	Yellow	Dwarf	035.1:275.8	-
Bootis	Gamma	Orange	Dwarf	038.4:290.0	-
Bootis	Delta	Orange	Dwarf	021.7:250.9	-
Bootis	Epsilon	Red	Dwarf	013.8:269.6	-
Bootis	Zeta	Red	Dwarf	016.7:287.5	-
Bootis	Eta	Orange	Dwarf	067.2:286.3	-
Brahe	Alpha	Orange	Dwarf	620.8:233.3	-
Brahe	Beta	Green	Dwarf	639.5:231.2	Sun Device (planet I)
Brahe	Gamma	White	Dwarf	635.4:272.9	Mycon Egg Case (planet I)
Brahe	Delta	Green	Dwarf	645.8:275.0	-
Brahe	Epsilon	Orange	Dwarf	641.6:262.5	-
Brahe	Zeta	Red	Dwarf	650.0:245.8	-
Caeli	Alpha	Red	Dwarf	241.0:071.8	-
Caeli	Beta	Red	Dwarf	258.9:074.1	-
Caeli	Gamma	Red	Dwarf	285.4:078.7	-
Caeli	Delta	Red	Dwarf	308.9:078.2	-
Caeli	Epsilon	Red	Dwarf	333.3:080.1	-
Camelopardalis	Alpha	Yellow	Giant	606.2:404.1	-
Camelopardalis	Beta	Green	Dwarf	595.8:408.3	-
Camelopardalis	Gamma	Green	Dwarf	612.5:393.7	-
Camelopardalis	Delta	Green	Dwarf	627.0:383.3	-
Camelopardalis	Epsilon	Orange	Dwarf	593.7:393.7	Syreen Vault (satellite I-C)
Camelopardalis	Zeta	Orange	Dwarf	616.6:412.5	-
Camelopardalis	Eta	Orange	Dwarf	620.8:422.9	-
Camelopardalis	Theta	Red	Dwarf	589.5:402.0	-
Camelopardalis	Iota	Red	Dwarf	629.1:393.7	-
Cancri	Alpha	Green	Dwarf	493.7:514.5	-
Cancri	Beta	Green	Dwarf	515.5:512.2	-
Cancri	Gamma	Orange	Dwarf	500.6:501.1	-
Cancri	Delta	Red	Dwarf	509.4:493.1	-
Canopus	-	Blue	Dwarf	218.7:150.0	-
Capella	-	Blue	Dwarf	424.4:009.1	-
Capricorni	Alpha	Orange	Giant	297.9:516.6	-
Capricorni	Beta	Orange	Dwarf	303.5:517.8	-
Capricorni	Gamma	Orange	Dwarf	299.3:531.8	-
Carinae	Alpha	Green	Giant	362.5:543.7	-
Carinae	Beta	Blue	Dwarf	341.6:543.7	-
Carinae	Gamma	Green	Dwarf	358.3:547.9	-
Cassiopeiae	Alpha	Blue	Dwarf	354.1:518.7	-
Cassiopeiae	Beta	Green	Dwarf	377.0:525.0	-
Cassiopeiae	Gamma	Yellow	Dwarf	367.9:506.9	-
Cassiopeiae	Delta	Yellow	Dwarf	387.5:514.5	-
Cassiopeiae	Epsilon	Red	Dwarf	399.4:518.5	-
Centauri	Alpha	Red	Super-Giant	155.9:099.3	-
Centauri	Beta	Green	Dwarf	141.2:090.5	-
Centauri	Gamma	Green	Dwarf	157.9:111.5	-
Centauri	Delta	Yellow	Dwarf	131.2:126.0	-
Centauri	Epsilon	Green	Dwarf	151.5:086.6	-
Centauri	Zeta	Red	Giant	146.3:077.9	-
Cephei	Alpha	Green	Giant	375.0:583.3	-
Cephei	Beta	Red	Giant	362.5:575.0	-
Cerenkov	Alpha	Blue	Dwarf	422.1:198.6	Admiral ZEX (planet I)
Cerenkov	Beta	Orange	Dwarf	450.0:200.0	-
Ceti	Alpha	White	Giant	287.5:447.9	-
Ceti	Beta	Blue	Dwarf	287.5:404.1	-
Ceti	Gamma	Blue	Dwarf	303.8:408.3	-
Ceti	Delta	Blue	Dwarf	293.7:430.6	-
Ceti	Epsilon	White	Dwarf	270.8:470.8	-
Ceti	Zeta	Green	Dwarf	289.5:468.7	-
Ceti	Eta	Orange	Dwarf	281.2:425.0	-
Chamaeleonis	Alpha	White	Dwarf	497.1:710.4	-
Chamaeleonis	Beta	Orange	Dwarf	495.5:703.4	-
Chamaeleonis	Gamma	Green	Dwarf	489.5:704.1	-
Chamaeleonis	Delta	Orange	Dwarf	485.4:712.5	-
Chamaeleonis	Epsilon	Yellow	Dwarf	487.9:720.1	-
Chamaeleonis	Zeta	Green	Dwarf	495.8:722.9	-
Chamaeleonis	Eta	Blue	Dwarf	508.3:714.5	-
Chamaeleonis	Theta	Blue	Dwarf	514.5:695.8	-
Chamaeleonis	Iota	Green	Dwarf	513.6:690.8	-
Chamaeleonis	Kappa	Blue	Dwarf	506.2:675.0	-
Chandrasekhar	Alpha	Orange	Giant	012.5:654.1	-
Chandrasekhar	Beta	White	Dwarf	037.5:671.6	-
Chandrasekhar	Gamma	Green	Dwarf	020.8:662.5	-
Chandrasekhar	Delta	Orange	Dwarf	018.7:652.0	-
Chandrasekhar	Epsilon	Orange	Dwarf	031.2:672.8	-
Circini	Alpha	Green	Giant	039.5:597.9	-
Circini	Beta	Blue	Dwarf	036.5:609.3	-
Circini	Gamma	Blue	Dwarf	043.7:627.0	-
Circini	Delta	Orange	Dwarf	054.1:614.5	-
Circini	Epsilon	Orange	Dwarf	056.3:598.0	-
Circini	Zeta	Orange	Dwarf	045.6:598.9	-
Columbae	Alpha	White	Giant	075.0:645.8	-
Columbae	Beta	Red	Dwarf	077.0:660.2	-
Columbae	Gamma	Green	Dwarf	072.9:620.8	-
Copernicus	Alpha	Green	Dwarf	579.1:262.5	-
Copernicus	Beta	Yellow	Dwarf	600.8:263.1	Syra and Mycon Egg Case (planet I)
Copernicus	Gamma	Red	Dwarf	562.5:252.0	-
Corvi	Alpha	-	-	-	victim of interdimensional fatigue
Corvi	Beta	Green	Dwarf	033.3:981.2	Slylandro Homeworld (planet IV)
Corvi	Gamma	Green	Dwarf	006.2:947.9	-
Corvi	Delta	Orange	Dwarf	100.0:939.5	-
Corvi	Epsilon	Red	Dwarf	010.4:912.5	-
Corvi	Zeta	Red	Dwarf	008.3:997.9	-
Corvi	Eta	Red	Dwarf	102.0:993.7	-
Crateris	Alpha	Blue	Giant	601.4:563.2	-
